Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit
95193820,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300313815.0,0.0,1,42,0,ST
95193303,2000,,0,0,0,0,F,40.0,998,998.0,Z012,Z1,0,0,100,,3000,3000.0,5300313452.0,0.0,1,999,100100000,ST
00370453,700020,,0,0,0,0,F,,708,708.0,Z011,X4,0,0,100,E20,2100,,5300003771.0,0.0,1,12,140100000,ST
23872300UB,704926,,0,0,0,0,F,,223,223.0,Z001,Z1,0,0,1,,2000,,5300151990.0,0.0,1,56,10402000,ST
00130096,703568,,0,0,0,0,F,,203,203.0,Z002,Z2,0,0,1,,2000,,5300011111.0,0.0,15,70,070200000,ST
23041901,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2000,,5300039451.0,0.0,1,28,010102000,ST
00394017,702014,,0,0,0,0,F,,206,206.0,Z001,Z2,0,0,1,,2000,,5300167650.0,0.0,1,112,520300000,ST
60083680,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300465713.0,0.0,1,3,10403000,ST
34947701UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300286229.0,0.0,1,42,10301000,ST
90230177,708008,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,100,,2000,,5300175852.0,0.0,1,35,520200000,ST
00360855,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,100,E11,2000,,,,1,14,140100000,ST
